Month,Route,Time,Day,Incident,Station ID,Min Delay
1,504,949,Thursday,Mechanical,15462,0
1,510,955,Thursday,Held By,7353,0
1,506,966,Thursday,Investigation,986,0
1,505,1022,Thursday,Mechanical,2194,0
1,505,1096,Thursday,Investigation,2194,0
1,505,1162,Thursday,Utilized Off Route,2194,0
1,512,1245,Thursday,Held By,16372,0
1,506,1299,Thursday,Investigation,986,0
1,501,46,Friday,Mechanical,5511,0
1,512,345,Friday,Late Leaving Garage,8153,0
1,505,370,Friday,Mechanical,2194,0
1,501,397,Friday,Emergency Services,6523,0
1,505,401,Friday,Mechanical,2165,0
1,504,411,Friday,Mechanical,14640,0
1,501,421,Friday,Emergency Services,6523,0
1,504,440,Friday,Mechanical,1756,0
1,511,477,Friday,Mechanical,12584,0
1,510,487,Friday,Held By,10927,1
1,506,505,Friday,Overhead - Pantograph,1082,0
1,506,537,Friday,Overhead - Pantograph,1082,0
1,510,538,Friday,Mechanical,7353,0
1,512,539,Friday,Mechanical,8169,1
1,505,584,Friday,General Delay,14639,0
1,506,744,Friday,Investigation,986,0
1,505,792,Friday,Investigation,2141,0
1,504,795,Friday,Investigation,15038,1
1,505,814,Friday,Utilized Off Route,2194,0
1,505,846,Friday,General Delay,2141,0
1,506,878,Friday,Investigation,986,0
1,505,893,Friday,Mechanical,14639,0
1,504,899,Friday,Mechanical,4156,0
1,505,952,Friday,Mechanical,14639,0
1,510,955,Friday,Held By,7353,0
1,501,1026,Friday,Investigation,6915,0
1,501,1026,Friday,Mechanical,6523,0
1,501,1158,Friday,Mechanical,3057,0
1,506,545,Saturday,Held By,812,1
1,505,601,Saturday,Mechanical,2194,0
1,506,603,Saturday,Investigation,986,0
1,511,646,Saturday,Mechanical,126,0
1,504,786,Saturday,Investigation,14640,0
1,505,804,Saturday,Mechanical,2182,0
1,501,810,Saturday,General Delay,3033,0
1,501,824,Saturday,Investigation,3065,0
1,512,829,Saturday,Mechanical,8169,0
1,509,901,Saturday,Investigation,13362,0
1,505,911,Saturday,Mechanical,14639,0
1,504,930,Saturday,Held By,4156,0
1,506,932,Saturday,Held By,1119,0
1,501,969,Saturday,Mechanical,6523,0
1,506,1005,Saturday,Held By,1093,1
1,501,1012,Saturday,Mechanical,6832,0
1,501,1072,Saturday,Held By,3069,0
1,501,1083,Saturday,Investigation,6832,0
1,506,1106,Saturday,Held By,1119,0
1,501,1151,Saturday,Investigation,16354,0
1,504,1239,Saturday,Investigation,1758,0
1,506,1404,Saturday,Investigation,1101,0
1,501,342,Sunday,Held By,6859,0
1,511,519,Sunday,Held By,10210,0
1,505,556,Sunday,Held By,2194,0
1,501,575,Sunday,Mechanical,3065,0
1,505,695,Sunday,Held By,14639,0
1,505,949,Sunday,Investigation,2194,0
1,506,1133,Sunday,Held By,1082,0
1,512,1198,Sunday,Investigation,8146,0
1,512,1309,Sunday,Held By,8146,0
1,506,7,Monday,Mechanical,1252,0
1,512,317,Monday,Mechanical,8178,0
1,512,345,Monday,Utilized Off Route,8153,0
1,510,444,Monday,Mechanical,10927,0
1,505,509,Monday,General Delay,2194,0
1,506,530,Monday,General Delay,752,0
1,512,612,Monday,Mechanical,14778,0
1,504,632,Monday,Held By,14665,0
1,504,655,Monday,Mechanical,4142,0
1,505,823,Monday,General Delay,2194,0
1,505,889,Monday,Mechanical,14639,0
1,501,1005,Monday,Mechanical,6806,0
1,504,1098,Monday,Mechanical,4156,0
1,509,1150,Monday,Mechanical,13370,0
1,504,1175,Monday,Held By,15462,0
1,505,1207,Monday,Mechanical,2119,0
1,509,1295,Monday,Mechanical,13370,0
1,512,1310,Monday,Mechanical,16389,0
1,504,35,Tuesday,Mechanical,15647,0
1,510,70,Tuesday,Investigation,11985,0
1,501,312,Tuesday,Mechanical,6842,0
1,512,350,Tuesday,Held By,8146,1
1,505,522,Tuesday,General Delay,2194,0
1,506,566,Tuesday,General Delay,844,0
1,504,572,Tuesday,Held By,1767,0
1,505,762,Tuesday,Mechanical,2194,0
1,504,816,Tuesday,Held By,4578,0
1,505,824,Tuesday,General Delay,1756,1
1,504,871,Tuesday,Mechanical,6849,0
1,511,905,Tuesday,Mechanical,14619,0
1,505,944,Tuesday,Late Leaving Garage,2194,0
1,506,948,Tuesday,Held By,12338,0
1,511,953,Tuesday,Mechanical,10210,0
1,510,955,Tuesday,General Delay,7353,0
1,511,1005,Tuesday,Emergency Services,14619,0
1,509,1060,Tuesday,Held By,13362,0
1,503,1101,Tuesday,Investigation,3036,0
1,504,1248,Tuesday,Mechanical,4181,0
1,512,15,Wednesday,Mechanical,8184,0
1,506,98,Wednesday,Held By,1114,0
1,504,249,Wednesday,Late Leaving Garage,6849,0
1,510,315,Wednesday,Held By,10927,1
1,505,404,Wednesday,Utilized Off Route,1756,0
1,505,410,Wednesday,Utilized Off Route,1756,0
1,505,419,Wednesday,Utilized Off Route,2143,0
1,505,424,Wednesday,Utilized Off Route,2194,0
1,505,436,Wednesday,General Delay,2194,0
1,505,441,Wednesday,Utilized Off Route,2194,0
1,506,478,Wednesday,Utilized Off Route,14741,0
1,506,486,Wednesday,Utilized Off Route,14741,0
1,501,497,Wednesday,Utilized Off Route,6806,0
1,506,502,Wednesday,Utilized Off Route,14741,0
1,501,502,Wednesday,Utilized Off Route,6849,0
1,501,503,Wednesday,Utilized Off Route,6806,0
1,501,509,Wednesday,Utilized Off Route,6849,0
1,501,510,Wednesday,Utilized Off Route,6806,0
1,506,556,Wednesday,General Delay,754,0
1,501,561,Wednesday,General Delay,6859,0
1,506,565,Wednesday,Utilized Off Route,14741,0
1,504,567,Wednesday,Mechanical,4578,0
1,505,582,Wednesday,Emergency Services,2143,0
1,501,679,Wednesday,Investigation,6851,0
1,505,713,Wednesday,Mechanical,2190,0
1,501,818,Wednesday,Mechanical,6523,0
1,505,825,Wednesday,Mechanical,2194,0
1,505,843,Wednesday,General Delay,2143,1
1,505,857,Wednesday,Mechanical,14639,0
1,505,947,Wednesday,Late Leaving Garage,14666,0
1,510,962,Wednesday,General Delay,7353,0
1,505,976,Wednesday,Mechanical,14639,0
1,505,1111,Wednesday,Mechanical,14639,0
1,506,1143,Wednesday,Investigation,823,1
1,506,1150,Wednesday,Held By,840,0
1,505,1167,Wednesday,Mechanical,2176,0
1,504,1201,Wednesday,Emergency Services,4156,0
1,505,1221,Wednesday,Utilized Off Route,2190,0
1,504,1265,Wednesday,Emergency Services,4144,0
1,510,351,Thursday,Held By,7353,0
1,505,507,Thursday,General Delay,14639,0
1,511,543,Thursday,Held By,161,0
1,501,551,Thursday,Mechanical,3084,0
1,504,568,Thursday,Mechanical,3374,0
1,504,642,Thursday,Mechanical,4142,0
1,501,666,Thursday,Held By,6909,0
1,505,852,Thursday,Investigation,2136,0
1,505,857,Thursday,General Delay,2127,0
1,501,908,Thursday,Investigation,3063,0
1,512,912,Thursday,Investigation,8153,0
1,504,925,Thursday,Mechanical,15462,1
1,510,951,Thursday,General Delay,7353,0
1,505,983,Thursday,Utilized Off Route,988,0
1,506,983,Thursday,Held By,988,0
1,505,995,Thursday,Utilized Off Route,2194,0
1,505,1076,Thursday,Investigation,14639,0
1,505,1086,Thursday,Mechanical,14639,0
1,506,1145,Thursday,Held By,760,1
1,511,1294,Thursday,Mechanical,14619,0
1,509,1302,Thursday,Held By,13362,0
1,505,1368,Thursday,Mechanical,14639,0
1,505,12,Friday,Mechanical,14666,0
1,511,76,Friday,Investigation,161,0
1,506,420,Friday,Overhead - Pantograph,1794,0
1,504,424,Friday,Mechanical,6849,0
1,506,441,Friday,Overhead - Pantograph,1794,0
1,505,467,Friday,Mechanical,14639,0
1,505,543,Friday,General Delay,2136,0
1,504,776,Friday,Investigation,15647,0
1,504,789,Friday,Investigation,15643,0
1,505,807,Friday,Held By,2190,1
1,512,823,Friday,Mechanical,14778,0
1,505,829,Friday,Utilized Off Route,14639,0
1,505,852,Friday,General Delay,2169,0
1,505,912,Friday,Emergency Services,2194,0
1,501,1251,Friday,Mechanical,6523,0
1,505,1261,Friday,Mechanical,2141,0
1,511,1327,Friday,Emergency Services,14619,0
1,501,1378,Friday,Held By,16402,0
1,501,457,Saturday,Investigation,6523,0
1,504,460,Saturday,Investigation,15462,0
1,506,610,Saturday,Held By,1121,0
1,510,637,Saturday,Mechanical,10946,0
1,505,726,Saturday,Mechanical,2136,0
1,512,769,Saturday,Overhead - Pantograph,8178,0
1,506,786,Saturday,Investigation,1099,1
1,512,1105,Saturday,Held By,8153,0
1,506,1298,Saturday,Held By,1097,0
1,506,1302,Saturday,Investigation,814,0
1,505,1309,Saturday,Emergency Services,14666,0
1,511,1325,Saturday,Mechanical,10210,0
1,501,1352,Saturday,Mechanical,6523,0
1,501,1378,Saturday,Held By,16402,0
1,505,20,Sunday,Mechanical,14639,0
1,506,20,Sunday,Emergency Services,1153,0
1,505,778,Sunday,Mechanical,2165,0
1,501,886,Sunday,Mechanical,6859,0
1,512,956,Sunday,Mechanical,14958,0
1,501,1001,Sunday,Investigation,3088,0
1,501,1012,Sunday,Held By,6859,0
1,506,1154,Sunday,Held By,760,0
1,504,1241,Sunday,Emergency Services,14665,0
1,501,1314,Sunday,Investigation,6849,0
1,504,412,Monday,General Delay,3374,0
1,504,428,Monday,General Delay,3374,0
1,505,542,Monday,General Delay,2194,0
1,504,560,Monday,Mechanical,6849,0
1,504,568,Monday,Mechanical,3374,0
1,504,611,Monday,Mechanical,3374,0
1,504,716,Monday,Mechanical,4188,0
1,505,815,Monday,Mechanical,2141,0
1,505,815,Monday,General Delay,2141,0
1,512,891,Monday,Investigation,8189,0
1,506,978,Monday,Investigation,812,0
1,504,1024,Monday,Mechanical,4163,0
1,504,1125,Monday,Mechanical,4576,0
1,511,1283,Monday,Investigation,126,0
1,510,8,Tuesday,Held By,7353,1
1,504,423,Tuesday,Mechanical,14640,0
1,512,469,Tuesday,Mechanical,8171,0
1,505,524,Tuesday,General Delay,2194,0
1,512,532,Tuesday,Utilized Off Route,8171,0
1,504,615,Tuesday,Mechanical,14665,0
1,501,642,Tuesday,Investigation,3074,0
1,504,820,Tuesday,Held By,15637,0
